高通量荧光定量PCR,OPCR,ABI,"QuanStudio 3",,,"https://www.thermofisher.com/order/catalog/product/A28567?ef_id=Cj0KCQjwzqXQBhD2ARIsAKrIeU_ZKFewL54gPYFgpGoTaKiZqrH_Ht_sPrJm6T_XNeeR4kopdRVaRKUaAgaOEALw_wcB:G:s&s_kwcid=AL!3652!3!!!!x!!!23839112832!&cid=bid_cbu_sbu_r04_az_cp0000_pgm4212_apjcorppm-01_0se_gaw_ta_pur_con&gad_source=1&gad_campaignid=23839117599&gbraid=0AAAAADxi_GT7EzdReXtgYDc-JjI_BwC8C&gclid=Cj0KCQjwzqXQBhD2ARIsAKrIeU_ZKFewL54gPYFgpGoTaKiZqrH_Ht_sPrJm6T_XNeeR4kopdRVaRKUaAgaOEALw_wcB",,,,,,,,,,,,,,,,,,,
台式核磁共振波谱仪,"Benchtop nuclear magnetic resonance spectrometer",Magritek,"Spinsolve 80 Carbon Ultra",,,"https://magritek.com/products/benchtop-nmr-spectrometer-spinsolve/spinsolve-80/",,,,,,,,,,,,,,,,,,,
光学显微镜,"Light microscope",,,,,"光学显微镜 - 维基百科，自由的百科全书",,,,,,,,,,,,,,,,,,,
解剖显微镜,"Dissecting microscope",,,,,"Dissecting Microscopes | 奥林巴斯生物显微镜",,,,,,,,,,,,,,,,,,,
电子天平,"Electronic balance",,,,,"电子天平 - 维基百科，自由的百科全书",,,,,,,,,,,,,,,,,,,
移液器,"Pipette gun",,,,,"https://www.thermofisher.cn/order/catalog/product/4641080N",,,,,,,,,,,,,,,,,,,
恒温水浴锅,"Constant-temperature water bath",,,,,"https://www.nbchao.com/p/21340/",,,,,,,,,,,,,,,,,,,
分光光度计,Spectrophotometer,,,,,"https://www.shimadzu.com.cn/an/news-events/productnews/2018/0726.html",,,,,,,,,,,,,,,,,,,
离心机,Centrifuge,,,,,"离心机 - 维基百科，自由的百科全书",,,,,,,,,,,,,,,,,,,
电泳仪,"Electrophoresis apparatus",,,,,"http://www.liuyi17.com/dianyongyidianyuan/DYY-8C.html",,,,,,,,,,,,,,,,,,,
恒温培养箱,"Constant-temperature incubator",,,,,"https://www.nbchao.com/p/21340/",,,,,,,,,,,,,,,,,,,
冰箱,Refrigerator,,,,,实验室冷藏冰箱|Liebherr利普赫尔电器,,,,,,,,,,,,,,,,,,,
微波炉,"Microwave oven",,,,,"微波炉 - 维基百科，自由的百科全书",,,,,,,,,,,,,,,,,,,
酒精灯,"Alcohol burner",,,,,"https://m.chemicalbook.com/ChemicalProductProperty_CN_CB81165023.htm",,,,,,,,,,,,,,,,,,,
油镜,"Oil-immersion objective",,,,,"https://zhuanlan.zhihu.com/p/1895854967404881863",,,,,,,,,,,,,,,,,,,
CO₂麻醉箱,"CO₂ anesthesia chamber",,,,,"CO2 BOX - 动物研究诱导麻醉箱 by Zoonlab GmbH | MedicalExpo",,,,,,,,,,,,,,,,,,,
恒温加热板,"Warming Plate",,,,,"https://baike.baidu.com/item/%E6%81%92%E6%B8%A9%E5%8A%A0%E7%83%AD%E6%9D%BF/6674095",,,,,,,,,,,,,,,,,,,
二氧化碳窒息装置,"CO₂ asphyxiation equipment",,,,,"http://www.yskdbt.com/product_view_313.html",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
